name;description;app layer;features;documentation
tls.cert_fingerprint;match on the TLS cert fingerprint buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-cert-fingerprint;
ja3.hash;content modifier to match the JA3 hash buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ja3-keywords.html#ja3-hash;
ja3.string;content modifier to match the JA3 string buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ja3-keywords.html#ja3-string;
ja3s.hash;content modifier to match the JA3S hash sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ja3-keywords.html#ja3s-hash;
ja3s.string;content modifier to match the JA3S string sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ja3-keywords.html#ja3s-string;
modbus;match on various properties of Modbus requests;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/modbus-keyword.html#modbus-keyword;
cip_service;match on CIP Service;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/enip-keyword.html#enip-cip-keywords;
enip_command;rules for detecting EtherNet/IP command;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/enip-keyword.html#enip-cip-keywords;
dnp3.data;make the following content options to match on the re-assembled application buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/dnp3-keywords.html#dnp3-data;
dnp3_func;match on the application function code found in DNP3 request and responses;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/dnp3-keywords.html#dnp3-func;
dnp3_ind;match on the DNP3 internal indicator flags in the response application header;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/dnp3-keywords.html#dnp3-ind;
dnp3_obj;match on the DNP3 application data objects;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/dnp3-keywords.html#dnp3-obj;
xbits;operate on bits;Unset;compatible with IP only rule;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/xbits.html;
base64_decode;Decodes base64 encoded data.;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/base64-keywords.html#base64-decode;
base64_data;Content match base64 decoded data.;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/base64-keywords.html#base64-data;
krb5_err_code;match Kerberos 5 error code;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/kerberos-keywords.html#krb5-err-code;
krb5_msg_type;match Kerberos 5 message type;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/kerberos-keywords.html#krb5-msg-type;
krb5.cname;sticky buffer to match on Kerberos 5 client name;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/kerberos-keywords.html#krb5-cname;
krb5.sname;sticky buffer to match on Kerberos 5 server name;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/kerberos-keywords.html#krb5-sname;
sip.method;sticky buffer to match on the SIP method buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/sip-keywords.html#sip-method;
sip.uri;sticky buffer to match on the SIP URI;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/sip-keywords.html#sip-uri;
sip.protocol;sticky buffer to match on the SIP protocol;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/sip-keywords.html#sip-protocol;
sip.stat_code;sticky buffer to match on the SIP status code;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/sip-keywords.html#sip-stat-code;
sip.stat_msg;sticky buffer to match on the SIP status message;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/sip-keywords.html#sip-stat-msg;
sip.request_line;sticky buffer to match on the SIP request line;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/sip-keywords.html#sip-request-line;
sip.response_line;sticky buffer to match on the SIP response line;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/sip-keywords.html#sip-response-line;
rfb.secresult;match RFB security result;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/rfb-keywords.html#rfb-secresult;
rfb.sectype;match RFB security type;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/rfb-keywords.html#rfb-sectype;
rfb.name;sticky buffer to match on the RFB desktop name;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/rfb-keywords.html#rfb-name;
